cleora_n_iter,cleora_dim,train_test_split,dataset_name,batch_size,test_batch_size,epochs,algo,f1_micro,f1_macro,log_loss,std_f1_micro,std_f1_macro,std_log_loss
6.0,512.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.7543391188251003,0.7156448485458634,0.7354556879297165,0.0,0.0,1.1102230246251563e-16
6.0,256.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7380952380952381,0.695717633509116,0.7767539227834546,0.0,0.0,1.1102230246251563e-16
6.0,256.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.724966622162884,0.6915131255421749,0.7983870991697491,0.0,0.0,0.0
5.0,1024.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.739652870493992,0.6962072779772353,0.7880470940980637,0.0,0.0,0.0
5.0,1024.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.7242990654205608,0.6920098100182498,0.8261033944013626,0.0,0.0,0.0
5.0,512.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7198486871384068,0.6835099724854197,0.8070845631435025,0.0,0.0,0.0
5.0,512.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.7196261682242989,0.6956406001058286,0.8354907477062928,0.0,0.0,0.0
5.0,256.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7151757899421451,0.669658377871316,0.8182497477035603,1.1102230246251563e-16,0.0,0.0
5.0,256.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.6980418335558523,0.6646648527168296,0.8519797203112499,0.0,0.0,0.0
4.0,1024.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7069425901201603,0.654485240131275,0.8472651871062681,1.1102230246251563e-16,0.0,0.0
4.0,1024.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.7113929684023141,0.6642587343087539,0.8588912033789313,1.1102230246251563e-16,0.0,0.0
4.0,512.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7044948820649756,0.656399614994768,0.8587277036159869,0.0,0.0,0.0
4.0,512.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.7000445037828216,0.654399422421687,0.8652583439557963,1.1102230246251563e-16,0.0,0.0
4.0,256.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.6831330663106364,0.6344599286261183,0.8783202147198587,0.0,0.0,0.0
4.0,256.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.6671117044948821,0.6230287623942499,0.903896336718783,0.0,0.0,0.0
3.0,1024.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.6566533155318202,0.6035218106515706,0.9366258257761152,0.0,0.0,0.0
3.0,1024.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.6359590565198042,0.5849821237321107,0.9777946308613674,0.0,0.0,0.0
3.0,512.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.6628838451268357,0.6132003078843773,0.9339987579448168,0.0,0.0,0.0
3.0,512.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.6366266132621273,0.5952196855471437,0.9745537770651946,0.0,0.0,0.0
3.0,256.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.641299510458389,0.5910335309950632,0.9561373089273174,0.0,0.0,0.0
3.0,256.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.6290609701824655,0.588506266679728,0.9912036181848984,0.0,0.0,0.0
5.0,256.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3831307674994373,0.089003706013333,1.89465144219656,0.0,0.0,0.0
5.0,256.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.4144722034661265,0.1006505839118761,1.8107629700798853,0.0,0.0,0.0
4.0,1024.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3888701327931578,0.0915721668520431,1.8676853266191733,0.0,0.0,0.0
4.0,1024.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.4091829844699527,0.0980882226600027,1.8157873727877512,0.0,0.0,0.0
4.0,512.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3851001575512041,0.0902147036069647,1.8707227712789376,0.0,0.0,0.0
4.0,512.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.4073261309925726,0.0974692186035397,1.8238916221682568,0.0,0.0,0.0
4.0,256.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3833558406482106,0.0898845135235145,1.8778236835928643,0.0,0.0,0.0
4.0,256.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.4055818140895791,0.0966386902764432,1.8318436434081784,0.0,0.0,0.0
3.0,1024.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3723272563583163,0.0885549276112732,1.9073885881723047,0.0,0.0,0.0
3.0,1024.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.3634931352689624,0.0858187158192017,1.9220034131697328,0.0,0.0,0.0
3.0,512.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3769412559081702,0.0878839888815271,1.8806362790105065,0.0,0.0,0.0
3.0,512.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.3561782579338285,0.0823012435734278,1.9014982338742428,0.0,0.0,0.0
3.0,256.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3724960612198965,0.0875041676608458,1.8924187895060205,0.0,0.0,0.0
3.0,256.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.3436866981769075,0.0794875471855694,1.919964666876521,0.0,0.0,0.0
6.0,1024.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7512238540275924,0.7212528201355652,0.7625483891785189,0.0,0.0,0.0
6.0,1024.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.7481085892300846,0.7181333507880389,0.7581159968931784,0.0,0.0,0.0
6.0,512.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7458834000890076,0.7041615855801429,0.7615548108591366,0.0,0.0,0.0
6.0,512.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.757454383622608,0.7231077430755157,0.7487001860305899,0.0,0.0,0.0
6.0,256.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7434356920338229,0.7065394752453883,0.7710455399665657,0.0,0.0,0.0
6.0,256.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.7354250111259458,0.7013325797704184,0.7917831371651752,0.0,0.0,0.0
5.0,1024.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7336448598130842,0.6964424615582343,0.7993175132149745,0.0,0.0,0.0
5.0,1024.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.7189586114819759,0.6949962447102781,0.8310752240370848,0.0,0.0,0.0
5.0,512.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7234089897641299,0.6787162963530015,0.807290351048556,0.0,0.0,0.0
5.0,512.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.7180685358255452,0.6887694068057909,0.8381493290475249,0.0,0.0,0.0
5.0,256.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7100578549176682,0.6763581692995783,0.8318275878974656,0.0,0.0,0.0
5.0,256.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.7113929684023141,0.687910819044105,0.8459376517932421,0.0,0.0,0.0
4.0,1024.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7140631953716066,0.6697638297844246,0.8376635457432453,0.0,0.0,0.0
4.0,1024.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.7138406764574989,0.6741345341314846,0.8486408574975727,0.0,0.0,0.0
4.0,512.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7016021361815754,0.6506024696563638,0.8595567109557675,0.0,0.0,0.0
4.0,512.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.6969292389853138,0.6417927442549247,0.8663425101846153,0.0,0.0,0.0
